Brick;Brick.EqualityContract;Brick.Date;Brick.Type;Brick.Open;Brick.High;Brick.Low;Brick.Close;Brick.TicksCount;Brick.Volume
"Brick { Date = 10/06/2024 12:09:07, Type = Up, Open = 121195, High = 121245, Low = 121195, Close = 121245, TicksCount = 3764, Volume = 14248 }";Application.Range.Brick;"10/06/2024 12:09:07";Up;121195;121245;121195;121245;3764;14248
"Brick { Date = 10/06/2024 12:08:40, Type = Down, Open = 121245, High = 121245, Low = 121195, Close = 121195, TicksCount = 2966, Volume = 11555 }";Application.Range.Brick;"10/06/2024 12:08:40";Down;121245;121245;121195;121195;2966;11555
"Brick { Date = 10/06/2024 12:07:24, Type = Up, Open = 121195, High = 121245, Low = 121150, Close = 121245, TicksCount = 23255, Volume = 93685 }";Application.Range.Brick;"10/06/2024 12:07:24";Up;121195;121245;121150;121245;23255;93685
"Brick { Date = 10/06/2024 12:02:46, Type = Down, Open = 121245, High = 121290, Low = 121195, Close = 121195, TicksCount = 29375, Volume = 117073 }";Application.Range.Brick;"10/06/2024 12:02:46";Down;121245;121290;121195;121195;29375;117073
"Brick { Date = 10/06/2024 12:02:12, Type = Down, Open = 121295, High = 121305, Low = 121245, Close = 121245, TicksCount = 6364, Volume = 25165 }";Application.Range.Brick;"10/06/2024 12:02:12";Down;121295;121305;121245;121245;6364;25165
"Brick { Date = 10/06/2024 11:59:15, Type = Up, Open = 121245, High = 121295, Low = 121200, Close = 121295, TicksCount = 30500, Volume = 119620 }";Application.Range.Brick;"10/06/2024 11:59:15";Up;121245;121295;121200;121295;30500;119620
"Brick { Date = 10/06/2024 11:57:10, Type = Down, Open = 121295, High = 121325, Low = 121245, Close = 121245, TicksCount = 20424, Volume = 77614 }";Application.Range.Brick;"10/06/2024 11:57:10";Down;121295;121325;121245;121245;20424;77614
"Brick { Date = 10/06/2024 11:56:02, Type = Down, Open = 121345, High = 121355, Low = 121295, Close = 121295, TicksCount = 14449, Volume = 57126 }";Application.Range.Brick;"10/06/2024 11:56:02";Down;121345;121355;121295;121295;14449;57126
"Brick { Date = 10/06/2024 11:55:15, Type = Down, Open = 121395, High = 121415, Low = 121345, Close = 121345, TicksCount = 8136, Volume = 29583 }";Application.Range.Brick;"10/06/2024 11:55:15";Down;121395;121415;121345;121345;8136;29583
"Brick { Date = 10/06/2024 11:54:24, Type = Down, Open = 121445, High = 121475, Low = 121395, Close = 121395, TicksCount = 9786, Volume = 36991 }";Application.Range.Brick;"10/06/2024 11:54:24";Down;121445;121475;121395;121395;9786;36991
"Brick { Date = 10/06/2024 13:55:31, Type = Up, Open = 121045, High = 121095, Low = 121035, Close = 121095, TicksCount = 7650, Volume = 31502 }";Application.Range.Brick;"10/06/2024 13:55:31";Up;121045;121095;121035;121095;7650;31502
"Brick { Date = 10/06/2024 11:53:54, Type = Down, Open = 121495, High = 121500, Low = 121445, Close = 121445, TicksCount = 5479, Volume = 20152 }";Application.Range.Brick;"10/06/2024 11:53:54";Down;121495;121500;121445;121445;5479;20152
"Brick { Date = 10/06/2024 11:52:26, Type = Up, Open = 121395, High = 121445, Low = 121390, Close = 121445, TicksCount = 13428, Volume = 59072 }";Application.Range.Brick;"10/06/2024 11:52:26";Up;121395;121445;121390;121445;13428;59072
"Brick { Date = 10/06/2024 11:50:33, Type = Up, Open = 121345, High = 121395, Low = 121300, Close = 121395, TicksCount = 14315, Volume = 55653 }";Application.Range.Brick;"10/06/2024 11:50:33";Up;121345;121395;121300;121395;14315;55653
"Brick { Date = 10/06/2024 11:50:03, Type = Up, Open = 121295, High = 121345, Low = 121280, Close = 121345, TicksCount = 7489, Volume = 26192 }";Application.Range.Brick;"10/06/2024 11:50:03";Up;121295;121345;121280;121345;7489;26192
"Brick { Date = 10/06/2024 11:49:06, Type = Down, Open = 121345, High = 121350, Low = 121295, Close = 121295, TicksCount = 11737, Volume = 42775 }";Application.Range.Brick;"10/06/2024 11:49:06";Down;121345;121350;121295;121295;11737;42775
"Brick { Date = 10/06/2024 11:48:53, Type = Down, Open = 121395, High = 121400, Low = 121345, Close = 121345, TicksCount = 5469, Volume = 19077 }";Application.Range.Brick;"10/06/2024 11:48:53";Down;121395;121400;121345;121345;5469;19077
"Brick { Date = 10/06/2024 11:48:14, Type = Down, Open = 121445, High = 121445, Low = 121395, Close = 121395, TicksCount = 7989, Volume = 30788 }";Application.Range.Brick;"10/06/2024 11:48:14";Down;121445;121445;121395;121395;7989;30788
"Brick { Date = 10/06/2024 11:48:00, Type = Up, Open = 121395, High = 121445, Low = 121385, Close = 121445, TicksCount = 11719, Volume = 46208 }";Application.Range.Brick;"10/06/2024 11:48:00";Up;121395;121445;121385;121445;11719;46208
"Brick { Date = 10/06/2024 11:47:04, Type = Up, Open = 121345, High = 121395, Low = 121330, Close = 121395, TicksCount = 5835, Volume = 22554 }";Application.Range.Brick;"10/06/2024 11:47:04";Up;121345;121395;121330;121395;5835;22554
"Brick { Date = 10/06/2024 11:46:51, Type = Up, Open = 121295, High = 121345, Low = 121290, Close = 121345, TicksCount = 2460, Volume = 9870 }";Application.Range.Brick;"10/06/2024 11:46:51";Up;121295;121345;121290;121345;2460;9870
